target,condition,metric,condition_mean,baseline,delta,ci_low,ci_high,p,d
hazard_large,grid_pretrain,transfer_uses,43.04,fresh,43.04,41.647183,44.432817,0.0,6.1191
hazard_large,grid_pretrain,transfer_strength,105.313591,fresh,105.313591,100.30661,110.320572,0.0,4.165028
hazard_large,grid_pretrain,transfer_precision,0.762179,fresh,0.762179,0.743042,0.781317,0.0,7.886378
hazard_large,grid_pretrain,hazard_steps,7.29,fresh,-0.41,-1.127069,0.307069,0.25754,-0.113222
hazard_large,rules_pretrain,first_task_success_tick,31.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,rules_pretrain,task_completion_rate,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,rules_pretrain,contradictions,7.22,fresh,-0.48,-1.1258,0.1658,0.141071,-0.147181
hazard_large,rules_pretrain,reward,0.4556,fresh,0.0096,-0.003316,0.022516,0.141071,0.147181
hazard_large,rules_pretrain,invalid_actions,7.22,fresh,-0.48,-1.1258,0.1658,0.141071,-0.147181
hazard_large,rules_pretrain,final_energy,78.3131,fresh,-8.4329,-9.686467,-7.179333,0.0,-1.332106
hazard_large,rules_pretrain,prediction_error,0.094,fresh,-0.004667,-0.008052,-0.001281,0.006338,-0.272976
hazard_large,rules_pretrain,transfer_uses,17.49,fresh,17.49,15.639992,19.340008,0.0,1.872085
hazard_large,rules_pretrain,transfer_strength,8.656827,fresh,8.656827,5.882045,11.431609,0.0,0.617788
hazard_large,rules_pretrain,transfer_precision,0.399167,fresh,0.399167,0.323261,0.475073,0.0,1.041327
hazard_large,rules_pretrain,hazard_steps,7.22,fresh,-0.48,-1.1258,0.1658,0.141071,-0.147181
hazard_large,three_domain_pretrain,first_task_success_tick,31.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,three_domain_pretrain,task_completion_rate,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,three_domain_pretrain,contradictions,8.9,fresh,1.2,0.156721,2.243279,0.022746,0.227767
hazard_large,three_domain_pretrain,reward,0.422,fresh,-0.024,-0.044866,-0.003134,0.022746,-0.227767
hazard_large,three_domain_pretrain,invalid_actions,8.9,fresh,1.2,0.156721,2.243279,0.022746,0.227767
hazard_large,three_domain_pretrain,final_energy,94.3295,fresh,7.5835,6.172992,8.994008,0.0,1.064642
hazard_large,three_domain_pretrain,prediction_error,0.093,fresh,-0.005667,-0.009307,-0.002026,0.002052,-0.308256
hazard_large,three_domain_pretrain,transfer_uses,61.67,fresh,61.67,57.462945,65.877055,0.0,2.902721
hazard_large,three_domain_pretrain,transfer_strength,119.405586,fresh,119.405586,106.082958,132.728215,0.0,1.774779
hazard_large,three_domain_pretrain,transfer_precision,0.704169,fresh,0.704169,0.672691,0.735647,0.0,4.429794
hazard_large,three_domain_pretrain,hazard_steps,8.9,fresh,1.2,0.156721,2.243279,0.022746,0.227767
hazard_large,same_domain_pretrain,first_task_success_tick,31.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,same_domain_pretrain,task_completion_rate,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,same_domain_pretrain,contradictions,5.61,fresh,-2.09,-2.757286,-1.422714,0.0,-0.620218
hazard_large,same_domain_pretrain,reward,0.4878,fresh,0.0418,0.028454,0.055146,0.0,0.620218
hazard_large,same_domain_pretrain,invalid_actions,5.61,fresh,-2.09,-2.757286,-1.422714,0.0,-0.620218
hazard_large,same_domain_pretrain,final_energy,79.0558,fresh,-7.6902,-8.455422,-6.924978,0.0,-1.99003
hazard_large,same_domain_pretrain,prediction_error,0.002333,fresh,-0.096333,-0.098754,-0.093913,0.0,-7.881818
hazard_large,same_domain_pretrain,transfer_uses,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,same_domain_pretrain,transfer_strength,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,same_domain_pretrain,transfer_precision,0.0,fresh,0.0,0.0,0.0,1.0,0.0
hazard_large,same_domain_pretrain,hazard_steps,5.61,fresh,-2.09,-2.757286,-1.422714,0.0,-0.620218
rules_chain_long,grid_pretrain,first_task_success_tick,24.98,fresh,-5.1,-7.122064,-3.077936,1e-06,-0.499442
rules_chain_long,grid_pretrain,task_completion_rate,0.29,fresh,0.17,0.068306,0.271694,0.000932,0.331027
rules_chain_long,grid_pretrain,contradictions,2.49,fresh,0.0,-0.40298,0.40298,1.0,0.0
rules_chain_long,grid_pretrain,reward,2.2369,fresh,0.8161,0.3562,1.276,0.000442,0.35139
rules_chain_long,grid_pretrain,invalid_actions,2.49,fresh,0.0,-0.40298,0.40298,1.0,0.0
rules_chain_long,grid_pretrain,final_energy,130.0629,fresh,43.3431,40.555135,46.131065,0.0,3.078522
rules_chain_long,grid_pretrain,prediction_error,0.170674,fresh,0.046784,0.021744,0.071825,0.000216,0.369972
rules_chain_long,grid_pretrain,transfer_uses,58.03,fresh,44.4,41.70509,47.09491,0.0,3.262483
rules_chain_long,grid_pretrain,transfer_strength,72.890853,fresh,33.370516,26.187199,40.553833,0.0,0.919914
rules_chain_long,grid_pretrain,transfer_precision,0.917,fresh,0.074096,0.022373,0.125818,0.004557,0.283678
rules_chain_long,grid_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
rules_chain_long,rules_pretrain,first_task_success_tick,28.55,fresh,-1.53,-2.909541,-0.150459,0.02808,-0.219617
rules_chain_long,rules_pretrain,task_completion_rate,0.22,fresh,0.1,-0.007174,0.207174,0.064654,0.184765
rules_chain_long,rules_pretrain,contradictions,3.13,fresh,0.64,0.187463,1.092537,0.005102,0.28005
rules_chain_long,rules_pretrain,reward,1.9071,fresh,0.4863,0.018299,0.954301,0.039626,0.205763
rules_chain_long,rules_pretrain,invalid_actions,3.13,fresh,0.64,0.187463,1.092537,0.005102,0.28005
rules_chain_long,rules_pretrain,final_energy,76.0176,fresh,-10.7022,-12.519704,-8.884696,0.0,-1.166023
rules_chain_long,rules_pretrain,prediction_error,0.148471,fresh,0.024581,0.004532,0.04463,0.015191,0.242779
rules_chain_long,rules_pretrain,transfer_uses,14.23,fresh,0.6,-1.397925,2.597925,0.552059,0.059468
rules_chain_long,rules_pretrain,transfer_strength,21.837927,fresh,-17.682411,-23.528472,-11.836349,0.0,-0.598946
rules_chain_long,rules_pretrain,transfer_precision,0.500318,fresh,-0.342586,-0.44577,-0.239403,0.0,-0.65746
rules_chain_long,rules_pretrain,hazard_steps,0.0,fresh,0.0,0.0,0.0,1.0,0.0
rules_chain_long,three_domain_pretrain,first_task_success_tick,22.53,fresh,-7.55,-9.559464,-5.540536,0.0,-0.744006
rules_chain_long,three_domain_pretrain,task_completion_rate,0.54,fresh,0.42,0.303341,0.536659,0.0,0.712919
rules_chain_long,three_domain_pretrain,contradictions,3.7,fresh,1.21,0.73795,1.68205,0.0,0.507583
rules_chain_long,three_domain_pretrain,reward,3.3601,fresh,1.9393,1.434849,2.443751,0.0,0.761265
rules_chain_long,three_domain_pretrain,invalid_actions,3.7,fresh,1.21,0.73795,1.68205,0.0,0.507583
rules_chain_long,three_domain_pretrain,final_energy,92.7036,fresh,5.9838,3.844533,8.123067,0.0,0.553887
rules_chain_long,three_domain_pretrain,prediction_error,0.230221,fresh,0.106331,0.080975,0.131687,0.0,0.830401
