tick,semantic_success_rate,lexicon_divergence,misaction_rate,repair_count,condition
81,0.9856999999999999,0.8790218764236731,0.14300000000000002,0.0,repair_disabled
82,0.9853749999999999,0.8790218764236731,0.14625,0.0,repair_disabled
83,0.9853749999999999,0.8790218764236731,0.14625,0.0,repair_disabled
84,0.985425,0.8790218764236731,0.14575,0.0,repair_disabled
85,0.9841,0.8790218764236731,0.159,0.0,repair_disabled
86,0.9847,0.8790218764236731,0.153,0.0,repair_disabled
87,0.9846250000000001,0.8790218764236731,0.15375,0.0,repair_disabled
88,0.98545,0.8790218764236731,0.14550000000000002,0.0,repair_disabled
89,0.9842,0.8790218764236731,0.158,0.0,repair_disabled
90,0.9850249999999999,0.8790218764236731,0.14975,0.0,repair_disabled
91,0.985275,0.8790218764236731,0.14725,0.0,repair_disabled
92,0.98465,0.8790218764236731,0.1535,0.0,repair_disabled
93,0.9855499999999999,0.8790218764236731,0.14450000000000002,0.0,repair_disabled
94,0.9860249999999999,0.8790218764236731,0.13974999999999999,0.0,repair_disabled
95,0.984675,0.8790218764236731,0.15325,0.0,repair_disabled
96,0.9852,0.8790218764236731,0.14800000000000002,0.0,repair_disabled
97,0.9847499999999999,0.8790218764236731,0.1525,0.0,repair_disabled
98,0.984025,0.8790218764236731,0.15975,0.0,repair_disabled
99,0.9849,0.8790218764236731,0.151,0.0,repair_disabled
