condition,metric,fresh,condition,delta,ci_low,ci_high,p,d
v2_all_agi,first_success_tick,31.0,30.02,-0.98,-1.860181,-0.099819,0.02747,-0.220477
v2_all_agi,invalid_actions,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_all_agi,final_energy,100.0,213.922,113.922,107.739415,120.104585,0.0,3.648775
v2_all_agi,prediction_error,0.006667,0.052837,0.04617,0.037154,0.055186,0.0,1.014065
v2_all_agi,transfer_uses,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_all_agi,transfer_strength,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v2_all_agi,transfer_precision,0.0,0.77,0.77,0.686247,0.853753,0.0,1.820535
v2_all_agi,policy_sequences,0.0,302.18,302.18,296.636264,307.723736,0.0,10.793759
v2_all_agi,discovered_roles,0.0,3.35,3.35,3.247067,3.452933,0.0,6.444667
v2_all_agi,structural_recall,0.234,0.625,0.391,0.391,0.391,0.0,0.0
v2_all_agi,causal_intervention_effects,0.0,6.01,6.01,5.789288,6.230712,0.0,5.39209
v2_all_agi,curiosity_average,0.0,0.32032,0.32032,0.312017,0.328623,0.0,7.63893
v2_all_agi,exploration_rate_agi,0.0,0.2209,0.2209,0.211206,0.230594,0.0,4.512132
v2_all_agi,self_evaluator_total_outcomes,0.0,80.0,80.0,80.0,80.0,0.0,0.0
